region,site ID,Site name,Operator,,  Is site properly fenced and locked?,,stopped by security and identification checked,,visitor log maintained,,Is there a site emergency contact list?,, Are  signs   posted as required?,,Is security fences  intact and locks operational?,,Are there  signs of soil erosion that may weaken tower and anchor bases ?,,Is the  site  well cleaned and maintained?,,Has any  spillage taken place? ,,Is the concrete that is visible in overall good condition?(tower stubs and foundations),,Is the concrete that is visible in overall good condition? (all equipment plinths),,Is there grout  applied to the tower base?,,Are there any signs of rust or corrosion on anchor bolts?,,Are any of the nuts missing  on the HD bolts?,,Are the  RF exposure signs  mounted to the tower?,,Is tower painting  in overall good condition?,,Are there any rusted or missing members?,,Are there any missing bolts and nuts?,,Are navigation lights installed and in working order?,,Is climbing ladder installed and in good condition?,,Is safety cage installed and in good condition?,,Is  the tower level and plumb?,,Is there a visible twist in the tower?,,Is it close to the nearest inhabited building?,,Is there a lightning spike fitted to the top of tower all earth connections terminated?,,Is there  space available on ladder to accommodate additional feeder cables?,, Climbing ladder installed and in good condition?,,Is there space available to fit additional RF or MW antennas?,, Is there a shelter or brick enclosures?,,Is the shelter or brick enclosure  in  good condition?,,Have all earthing connections been terminated?,, Is there any intrusion system fitted?,,Are there traces of acid on the UPS battery and rectifier installation?,,Is the UPS batter array maintained on a regular basis?,,Are  RF cables secured properly in cable tray/ladder?,,Is the overall condition of feeder cables and waterproofing  good ?,,Are there any unused cables?,,Do you not any cables that have not been terminated?,,Is there fire alarm present?,,Is there an  intrusion alarm installed?,,Is there generator installed on site?,,Is the overall condition of the generatorand fuel tank/piping acceptable?,,Are the power cables in  good condition?,,Are the  cables properly insulated and terminated?,,Are the  appriporiate ECG meters installed on site?,,
7,ER 0638,0638 NKAWKAW MTN,Akuapim South Municipal,MTN,no,SDC10827,yes,,yes,,yes,,no,SDC10827,no,SDC10827,yes,SDC10827,no,SDC10832,no,,yes,,yes,,no,SDC10800,no,,no,,no,SDC10824,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,SDC10824,yes,,yes,,yes,,yes,,yes,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,SDC10821,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
3,,0669DOMEABRA,DAMANGO,MTN,YES,,YES,,YES,,NO,PB181473,NO,PB181473,YES,,NO,NULL,NO,PB181474,YES,,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB181474,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB181477,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,YES,,NO,PB181480,YES,,YES,,NO,PB181486,NO,PB181486,NO,NULL,
3,CS0512,0671KUSAWGU,DAMANGO,MTN,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,NO,NULL,YES,,NO,,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB161390,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB161396,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
3,CS0518,0678TOLON,TOLON,MTN,NO,PB161300,NO,NULL,NO,NULL,NO,PB161297,NO,PB161297,NO,PB161300,YES,,YES,,NO,PB161310,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB161300,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB161303,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,PB161300,,,,,YES,,YES,,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,NO,PB161300,
7,691,0691 NEWMONT AKM,BIRIM NORTH,VODAFONE/MTN,YES,,YES,,YES,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,YES ,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
2,695,0695LAWRA,LAWRA,MTN,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
2,696,0696JIRAPA,JIRAPA LAMBUSSIE,MTN,NO,null,NO,null,NO,null,YES,,YES,,NO,null,NO,,NO,Audit Trip 320.jpg,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,Audit Trip 317.jpg,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,null,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
2,,0697NADOWLI,NADOWLI ,MTN,NO,Audit Trip 2192.jpg,YES,,NO,null,NO,null,YES,,YES,,YES,null,YES,,YES,Audit Trip 2196.jpg,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,NO,Audit Trip 2205.jpg,YES,,YES,,YES,,NO,,YES,Audit Trip 2195.jpg,NO,null,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,null,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,712,0712 Koforidua AIRTEL,New - Juaben Municipal,aritel,yes,,yes,,yes,,yes,,yes,,yes,,no,,yes,,no,,yes,,yes,,yes,,no,,no,,yes,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,SDC12967,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,YES,NULL,YES,,yes,,yes,,no,,no,,YES,,YES,,yes,,yes,,yes,,yes,,YES,,
3,CS0561,0723KUMBUGU,TOLON,MTN,NO,PB151179,NO,NULL,NO,NULL,NO,PB151177,YES,,NO,PB151179,YES,,NO,PB151180,NO,NULL,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB151180,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB151185,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,YES,,NO,PB151192,YES,,YES,,YES,,YES,,NO,PB151178,
3,CS0563,0725DAMANGO,DAMANGO,MTN,YES,,NO,NULL,NO,NULL,NO,PB191675,NO,PB191675,YES,,NO,PB191683,NO,PB191679,NO,NULL,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB191675,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB191681,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,NULL,,,,,YES,,YES,,NO,NULL,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
3,CS0565,0727BUIPE,DAMANGO,MTN,YES,,NO,NULL,NO,NULL,NO,PB181521,NO,PB181521,YES,,NO,NULL,YES,,NO,PB181527,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB181533,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB181534,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,PB181525,
3,CS0566,0728BOLE,BOLE,MTN,YES,,NO,,NO,,NO,,NO,,YES,,NO,,YES,,NO,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
2,UW0730,0730WA,WA 1,MTN,YES,,YES,,YES,,NO,,NO,,YES,,NO,,NO,,NO,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,NO,,YES,,YES,,
7,785,0785 OSINO,Fanteakwa,MTN,YES,,NO,,YES,,NO,100_4296,NO,100_4296,YES,,YES,100_4309,NO,100_4309,NO,,YES,,YES,,NO,100_4305,NO,,NO,,NO,100_4306,YES,,NO,,NO,,YES,,YES,,YES,,YES,,no,,YES,null,YRS,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,N/A,,N/A,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,786,0786 SUHUM MTN,Suhum/Kraboa/Coaltar,mtn,yes,,no,,no,,yes,,,,,,,,,,,,yes,,yes,,yes,,no,,no,,,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,null,yes,,yes,,yes,,yes,,yes,,yes,,yes,,yes,,YES,null,YES,,yes,,yes,,no,,no,,YES,,YES,,yes,,yes,,yes,,yes,,YES,,
7,795,0795 KIBI,EAST AKIM,mtn,yes,,yes,,yes,,no,,no,,yes,,yes,,no,,yes,,yes,,yes,,no,,no,,no,,no,,yes,,no,,yes,,yes,,no,,no,,YES,,no,,YES,,yes,,yes,,YES,,yes,,yes,,yes,,yes,,yes,,NA,,NA,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
7,797,0797 NEW TAFO,ABUAKWA,mtn,no,100_9711,no,,no,,no,100_9711,no,100_9711,no,100_9711,no,,no,100_9711,no,,yes,,yes,,no,100_9707,no,,no,,no,100_9711,yes,,no,,no,,yes,,yes,,no,100_9715,YES,,no,,YES,100_9709,yes,,yes,,,,yes,,yes,,yes,,yes,,yes,,YES,100_9718,YES,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
3,,0815 NABORI,WEST GONJA,AIRTEL,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB191707,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
7,867,0867 KIBI 2,EAST AKIM,mtn,yes,,no,,yes,,no,,no,,yes,,no,,yes,,no,,yes,,yes,,yes,,no,,no,,no,,yes,,no,,no,,yes,,yes,,yes,,YES,,no,,YES,,yes,,yes,,YES,,yes,,yes,,yes,,yes,,yes,,NA,,NA,,yes,,yes,,no,,no,,yes,,yes,,yes,,yes,,yes,,yes,,YES,,
3,CS1357,0937NYAMKPALA,TOLON,MTN,YES,,NO,PB161223,NO,NULL,NO,PB161223,NO,PB161223,YES,,NO,NULL,NO,PB161227,NO,PB161234,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB161227,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,NO,PB161229,NO,PB161229,NO,NULL,
3,0.939,0939TAMALE_6,TAMALE,MTN,YES,,NO,NULL,NO,NULL,NO,PC020350,NO,PC020350,YES,,YES,,NO,PC020345,NO,NULL,NO,PC020351,YES,,YES,,NO,NULL,NO,NULL,NO,PC020345,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,YES,,YES,,NO,PC020347,YES,,NO,PC020347,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,YES,,NO,NULL,YES,,YES,,YES,,YES,,NO,PC020354,
7,1429,1429 MAAME KROBO TIGO,AFRAM PLAINS,TIGO,YES,,YES,,YES,,YES,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,SDC12619,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NA,,NA,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
7,1459,1459 EKYE AMANFROM,ABEFITI,TIGO,YES,,NO,,YES,,NO,SDC12268,NO,SDC12268,YES,,NO,,YES,,NO,,YES,,YES,,YES,,NO,,NO,,NO,SDC12253,YES,,NO,,NO,,YES,,YES,,YES,,YES,,NO,,YES,SDC12272,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,NO,,NO,,NA,null,NA,,YES,,YES,,YES,,YES,,YES,,
3,CS1600,1600GBIMSI,WSET MAMPRUSI,MTN,YES,,NO,NULL,NO,NULL,YES,PB140875,YES,PB140875,YES,,NO,NULL,YES,,NO,NULL,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB140875,YES,,NO,NULL,NO,NULL,NO,PB140879,YES,,YES,,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,
2,1602,1602DAFIAMA,NADOWLI,MTN,NO,Audit Trip 1742.jpg,NO,null,NO,null,NO,null,NO,Audit Trip 1743.jpg,NO,null,NO,,NO,,NO,,YES,,YES,,YES,,NO,,NO,,YES,,YES,,NO,,NO,,NO,Audit Trip 1753.jpg,YES,,NO,null,YES,,NO,,YES,null,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,null,YES,,YES,,YES,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,
3,CS1019,1616SANKPALA,DAMANGO,MTN,YES,,NO,NULL,NO,NULL,NO,PB161349,NO,PB161349,YES,,NO,PB161351,NO,PB161349,YES,PB161353,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB161350,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB161356,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,
3,1627,1627TAMALE_4,TAMALE,MTN,yes,,no,,no,,no,,no,,yes,,no,,no,,yes,,yes,,yes,,yes,,no,,no,,no,,yes,,no,,no,,yes,,yes,,no,,yes,,no,,yes,,yes,,no,,yes,,yes,,yes,,yes,,yes,,yes,,,,,,yes,,yes,,no,,no,,yes,,yes,,yes,,no,,no,,no,,yes,,
3,1628,1628TAMALE_7,TAMALE,MTN,YES,,NO,,NO,,NO,,NO,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,NO,,NO,,NO,,YES,,NO,,NO,,YES,,YES,,NO,,YES,,NO,,YES,,YES,,NO,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,,NO,,NO,,NO,,YES,,YES,,YES,,YES,,YES,,
3,CS1032,1629DIARA_KADIA,SAVELUGU,MTN,YES,,NO,NULL,NO,NULL,NO,PB140745,NO,PB140745,YES,,NO,NULL,NO,PB140756,YES,,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB140745,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB140755,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,NO,NULL,NO,NULL,NO,PB140752,NO,PB140756,NO,NULL,NO,NULL,NO,NULL,
3,1630,1630KAKPAYILI,WEST DAGOMBA,MTN,YES,,NO,NULL,NO,NULL,NO,PC020267,NO,PC020267,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PC020267,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PC020274,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
3,CS1035,1632NASIA,NALERIGU,MTN,YES,,NO,NULL,NO,NULL,NO,PB140828,NO,PB140828,YES,,NO,NULL,YES,,NO,NULL,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB140828,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB140834,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,
3,CS1038,1635SAWLA,BOLE,MTN,YES,,NO,NULL,NO,NULL,NO,PB201886,NO,PB201886,YES,,NO,NULL,NO,PB201893,NO,NULL,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB201886,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB201895,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
3,,1638FULFULSU,WEST GONJA,MTN,YES,,YES,,YES,,NO,PB161463,NO,PB161463,YES,,NO,NULL,NO,PB161459,YES,,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB161463,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB161461,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,
3,CS1042,1639BUSUNU,WEST GONJA,MTN,YES,,YES,,YES,,NO,PB191583,NO,PB191583,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB191583,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB191588,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
3,CS1043,1640MPEASIM,WEST GONJA,MTN,YES,,NO,NULL,NO,NULL,NO,PB191638,NO,PB191640,YES,,NO,NULL,NO,PB191641,YES,,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB191638,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB191640,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,PB191639,
3,CS1041,1641GRUPE,WEST GONJA,MTN,YES,,NO,NULL,NO,NULL,NO,PB201799,NO,PB201799,YES,,NO,NULL,NO,PB201808,YES,PB201809,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB201799,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB201804,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,NO,PB201805,NO,PB201805,NO,PB201809,
3,CS1045,1642BAMBOI,BOLE,MTN,YES,,NO,NULL,NO,NULL,NO,PB212061,NO,PB212061,YES,,NO,NULL,NO,PB212064,NO,PB212067,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB212061,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,NO,NULL,YES,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
3,CS1046,1643BANDA,BOLE,MTN,YES,,YES,,YES,,NO,PB212125,NO,PB212125,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB212125,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB212136,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,PB212128,YES,,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
3,CSI047,1644 TINGA_JK Mtn,BOLE,MTN,YES,,YES,,NO,NULL,NO,PB212167,NO,PB212167,YES,,NO,NULL,NO,PB212171,YES,,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB212167,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB212174,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,NO,PB212175,YES,,,,,,YES,,YES,,NO,NULL,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB212175,NO,PB212175,NO,PB212177,
3,CS1048,1645 WAKAWAKA Mtn,BOLE,MTN,NO,PB212181,NO,NULL,NO,NULL,NO,PB212181,NO,PB212181,NO,PB212181,NO,PB212189,YES,,YES,,YES,,YES,,YES,,NO,NULL,NO,NULL,NO,PB212181,YES,,NO,NULL,NO,NULL,YES,,YES,,NO,PB212188,YES,,NO,NULL,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,YES,,,,,,YES,,YES,,NO,NULL,NO,NULL,NO,NULL,NO,NULL,YES,,YES,,YES,,YES,,YES,,
